soil_type,temperature,humidity,rainfall,crop
alluvial,18.06,45.02,667.86,Wheat
loamy,13.11,48.47,446.84,Wheat
loamy,16.0,42.62,692.93,Wheat
loamy,20.89,51.03,499.69,Wheat
loamy,13.34,58.9,591.86,Wheat
loamy,18.55,56.69,553.88,Wheat
loamy,17.16,40.84,477.63,Wheat
loamy,22.79,44.2,437.34,Wheat
loamy,16.24,51.2,656.15,Wheat
loamy,23.11,44.73,406.88,Wheat
loamy,22.58,40.5,607.8,Wheat
alluvial,21.39,48.23,584.47,Wheat
loamy,15.2,55.75,387.83,Wheat
loamy,22.3,44.45,635.81,Wheat
alluvial,16.2,56.41,654.96,Wheat
loamy,12.28,43.86,464.89,Wheat
loamy,23.6,45.58,574.52,Wheat
alluvial,20.15,56.87,465.9,Wheat
loamy,13.38,59.41,412.5,Wheat
alluvial,12.46,51.93,470.99,Wheat
alluvial,17.24,59.68,390.48,Wheat
loamy,15.06,54.18,350.59,Wheat
loamy,16.37,41.4,582.48,Wheat
alluvial,19.48,53.27,393.62,Wheat
alluvial,18.09,53.34,464.16,Wheat
alluvial,18.65,43.84,582.73,Wheat
alluvial,20.13,58.06,565.43,Wheat
alluvial,16.87,56.67,456.36,Wheat
loamy,17.16,51.6,579.15,Wheat
alluvial,17.3,53.51,528.91,Wheat
loamy,19.91,45.68,582.35,Wheat
alluvial,13.12,59.04,432.2,Wheat
alluvial,14.7,43.98,358.55,Wheat
loamy,23.81,52.23,618.97,Wheat
alluvial,16.97,52.6,418.05,Wheat
alluvial,17.93,44.88,579.62,Wheat
loamy,22.71,57.21,659.91,Wheat
alluvial,14.63,56.08,593.57,Wheat
alluvial,12.6,44.98,646.92,Wheat
alluvial,13.6,49.29,535.9,Wheat
alluvial,23.4,57.83,564.43,Wheat
alluvial,21.97,50.96,664.02,Wheat
alluvial,17.4,55.04,643.95,Wheat
alluvial,21.19,50.43,569.36,Wheat
alluvial,17.28,54.27,432.07,Wheat
alluvial,15.84,50.8,398.43,Wheat
loamy,16.6,43.06,424.88,Wheat
sandy,22.89,60.85,645.52,Maize
loamy,27.99,57.79,769.43,Maize
loamy,28.28,65.31,633.13,Maize
loamy,29.31,55.97,636.5,Maize
sandy,24.46,64.69,779.95,Maize
loamy,23.86,55.46,669.97,Maize
sandy,22.03,63.58,641.51,Maize
loamy,28.09,68.39,843.25,Maize
loamy,28.88,61.84,732.05,Maize
loamy,25.71,52.71,661.59,Maize
loamy,21.12,56.55,659.14,Maize
sandy,27.13,57.58,763.2,Maize
sandy,21.03,51.64,506.78,Maize
loamy,30.0,57.0,727.55,Maize
loamy,27.05,68.99,569.78,Maize
loamy,25.46,54.77,665.75,Maize
loamy,24.77,54.36,744.81,Maize
sandy,20.01,62.14,761.77,Maize
loamy,27.33,53.28,608.86,Maize
loamy,29.15,61.52,817.81,Maize
sandy,22.76,64.3,526.6,Maize
loamy,19.22,65.45,797.6,Maize
loamy,27.55,61.32,514.37,Maize
sandy,25.94,51.38,726.64,Maize
loamy,28.19,66.45,536.94,Maize
sandy,25.63,66.57,747.56,Maize
sandy,20.11,60.43,727.66,Maize
sandy,23.58,66.51,707.37,Maize
sandy,28.22,66.61,530.33,Maize
sandy,20.93,59.29,713.62,Maize
sandy,22.04,59.89,613.75,Maize
sandy,20.55,65.96,619.12,Maize
sandy,24.67,60.33,566.87,Maize
loamy,26.64,59.77,765.36,Maize
sandy,25.75,59.82,777.53,Maize
loamy,21.53,58.09,585.16,Maize
sandy,23.68,60.62,648.93,Maize
sandy,22.22,59.07,607.32,Maize
loamy,19.45,53.85,541.84,Maize
loamy,20.3,64.77,596.77,Maize
sandy,29.77,66.65,603.69,Maize
sandy,20.15,50.28,686.95,Maize
sandy,18.55,51.09,602.25,Maize
loamy,25.65,65.06,535.91,Maize
loamy,24.89,59.39,654.16,Maize
loamy,29.59,55.05,801.6,Maize
loamy,27.87,58.01,525.93,Maize
loamy,19.82,66.22,832.19,Maize
loamy,29.93,52.37,767.56,Maize
loamy,27.31,57.61,817.98,Maize
sandy,28.32,69.8,606.88,Maize
loamy,25.32,64.8,831.66,Maize
loamy,25.51,55.29,528.42,Maize
loamy,20.09,51.5,500.94,Maize
sandy,26.27,59.4,511.42,Maize
sandy,26.48,64.06,658.91,Maize
loamy,29.09,65.76,718.77,Maize
loamy,23.1,60.89,726.67,Maize
sandy,27.92,51.43,558.07,Maize
sandy,25.14,66.48,822.42,Maize
loamy,22.99,63.77,609.92,Groundnut
loamy,26.0,59.88,424.13,Groundnut
sandy,29.12,64.69,581.11,Groundnut
sandy,22.73,69.24,650.79,Groundnut
sandy,30.0,63.45,480.85,Groundnut
sandy,28.1,53.5,555.69,Groundnut
loamy,29.33,53.63,575.6,Groundnut
loamy,29.75,59.4,522.5,Groundnut
loamy,27.36,67.15,498.94,Groundnut
loamy,24.31,68.9,644.07,Groundnut
sandy,25.64,56.29,496.98,Groundnut
loamy,28.92,66.5,400.35,Groundnut
loamy,25.31,53.75,508.53,Groundnut
loamy,27.0,65.2,461.07,Groundnut
sandy,29.42,58.76,609.48,Groundnut
sandy,22.23,62.6,639.79,Groundnut
sandy,24.49,50.27,522.4,Groundnut
sandy,29.94,68.26,538.43,Groundnut
sandy,27.18,53.08,679.8,Groundnut
loamy,26.07,55.47,650.42,Groundnut
loamy,23.95,61.03,515.08,Groundnut
sandy,28.91,55.52,637.0,Groundnut
loamy,24.72,65.75,480.15,Groundnut
sandy,24.26,55.97,576.08,Groundnut
loamy,28.92,58.93,545.3,Groundnut
loamy,26.42,60.87,536.6,Groundnut
loamy,28.96,69.62,471.64,Groundnut
loamy,23.87,65.51,413.09,Groundnut
loamy,27.64,66.23,515.82,Groundnut
sandy,25.96,50.74,550.69,Groundnut
loamy,28.96,67.48,532.09,Groundnut
loamy,22.12,52.88,661.28,Groundnut
sandy,22.6,65.63,479.51,Groundnut
loamy,27.2,67.04,655.7,Groundnut
loamy,29.63,62.54,666.23,Groundnut
loamy,28.98,50.72,420.53,Groundnut
loamy,29.98,64.94,530.19,Groundnut
sandy,28.08,64.08,430.15,Groundnut
sandy,27.55,68.07,413.8,Groundnut
sandy,24.35,57.5,443.67,Groundnut
loamy,26.53,65.85,451.0,Groundnut
sandy,26.88,57.65,604.94,Groundnut
loamy,29.3,52.86,538.34,Groundnut
loamy,25.68,63.34,669.67,Groundnut
loamy,29.21,63.55,447.39,Groundnut
loamy,29.56,69.75,489.75,Groundnut
loamy,27.52,59.14,490.64,Groundnut
loamy,28.83,52.13,514.41,Groundnut
loamy,26.6,69.85,488.57,Groundnut
loamy,24.2,61.32,605.74,Groundnut
sandy,29.28,64.9,649.85,Groundnut
loamy,28.21,54.6,640.58,Groundnut
sandy,27.09,62.42,603.33,Groundnut
sandy,27.03,68.07,593.9,Groundnut
loamy,28.31,50.67,509.46,Groundnut
sandy,22.72,55.9,624.24,Groundnut
sandy,23.61,65.73,662.94,Groundnut
loamy,26.25,68.27,649.14,Groundnut
loamy,29.31,68.88,690.22,Groundnut
loamy,27.97,56.77,434.55,Groundnut
black,23.83,69.33,844.06,Cotton
black,34.57,66.09,646.31,Cotton
black,22.18,60.73,681.91,Cotton
black,29.6,66.45,876.12,Cotton
black,30.77,59.43,747.82,Cotton
black,33.9,54.43,525.29,Cotton
black,33.82,56.04,663.32,Cotton
black,22.59,50.74,898.37,Cotton
black,23.26,67.75,554.27,Cotton
black,26.82,68.99,778.59,Cotton
black,29.64,64.53,854.17,Cotton
black,32.84,62.31,875.62,Cotton
black,22.43,57.41,677.35,Cotton
black,33.12,51.99,774.27,Cotton
black,22.79,55.52,887.28,Cotton
black,23.19,54.24,755.8,Cotton
black,22.66,56.67,895.53,Cotton
black,22.89,65.3,582.86,Cotton
black,32.57,54.66,809.75,Cotton
black,25.6,69.68,895.01,Cotton
black,32.38,52.2,846.58,Cotton
black,22.19,65.8,595.17,Cotton
black,22.21,55.31,550.7,Cotton
black,28.84,64.91,690.5,Cotton
black,28.67,52.18,701.54,Cotton
black,31.45,68.18,763.56,Cotton
black,27.95,69.28,524.33,Cotton
black,33.01,58.53,543.18,Cotton
black,22.96,51.62,743.32,Cotton
black,23.64,62.49,734.15,Cotton
black,26.95,61.95,617.96,Cotton
black,23.29,64.04,841.12,Cotton
black,27.59,67.76,665.53,Cotton
black,27.18,64.59,625.02,Cotton
black,30.65,57.49,561.06,Cotton
black,22.87,66.64,537.29,Cotton
black,31.68,57.45,552.05,Cotton
black,29.62,61.23,631.86,Cotton
black,27.34,67.47,876.45,Cotton
black,33.29,64.42,887.36,Cotton
black,26.57,61.56,585.1,Cotton
black,24.92,52.16,838.15,Cotton
black,23.49,55.57,590.46,Cotton
black,32.99,69.49,827.37,Cotton
black,29.92,63.16,777.39,Cotton
black,24.35,64.05,623.59,Cotton
black,26.56,53.63,557.3,Cotton
black,22.9,64.82,888.72,Cotton
black,31.7,54.3,667.93,Cotton
black,24.05,56.23,629.75,Cotton
black,33.48,53.11,801.77,Cotton
black,30.76,55.44,764.78,Cotton
black,29.89,58.28,586.23,Cotton
black,26.49,52.22,771.29,Cotton
black,28.85,56.17,588.21,Cotton
black,22.1,56.03,584.49,Cotton
black,31.93,55.79,547.99,Cotton
black,31.71,53.51,652.08,Cotton
black,28.5,66.67,822.48,Cotton
black,27.16,64.84,674.49,Cotton
loamy,35.05,82.24,1403.03,Sugarcane
loamy,32.51,73.35,1080.62,Sugarcane
clay,35.59,68.44,1663.33,Sugarcane
loamy,33.98,83.4,1061.69,Sugarcane
clay,26.92,76.78,1366.77,Sugarcane
loamy,34.45,79.92,1155.1,Sugarcane
clay,24.92,77.66,1371.42,Sugarcane
clay,34.87,71.99,1509.17,Sugarcane
clay,26.84,67.93,1138.09,Sugarcane
clay,33.12,78.11,1124.0,Sugarcane
loamy,29.57,76.27,1405.63,Sugarcane
loamy,34.37,77.54,1105.67,Sugarcane
clay,29.63,77.63,1557.43,Sugarcane
clay,28.22,66.48,1323.22,Sugarcane
clay,24.68,81.63,1053.71,Sugarcane
clay,31.38,75.14,1323.9,Sugarcane
clay,29.4,81.2,1456.29,Sugarcane
loamy,31.26,75.03,1670.41,Sugarcane
loamy,25.24,82.98,1240.41,Sugarcane
clay,30.05,68.45,1173.42,Sugarcane
loamy,35.89,75.48,1426.86,Sugarcane
loamy,28.47,70.66,1286.14,Sugarcane
loamy,32.15,66.05,1441.62,Sugarcane
loamy,24.79,66.89,1474.87,Sugarcane
loamy,27.02,82.03,1675.09,Sugarcane
clay,28.0,76.65,1099.0,Sugarcane
loamy,27.72,78.12,1463.49,Sugarcane
clay,31.14,83.76,1216.71,Sugarcane
loamy,31.72,71.57,1089.46,Sugarcane
clay,31.75,73.47,1253.28,Sugarcane
loamy,27.71,84.02,1239.21,Sugarcane
loamy,26.3,85.0,1108.46,Sugarcane
loamy,34.13,67.02,1539.61,Sugarcane
clay,31.94,82.53,1432.62,Sugarcane
loamy,25.85,68.62,1484.99,Sugarcane
clay,32.65,65.87,1255.01,Sugarcane
clay,35.64,77.21,1526.67,Sugarcane
loamy,26.81,69.78,1675.92,Sugarcane
loamy,34.85,68.88,1474.81,Sugarcane
loamy,29.54,70.64,1267.31,Sugarcane
loamy,35.6,81.34,1560.88,Sugarcane
clay,34.48,66.04,1336.41,Sugarcane
loamy,30.65,67.05,1592.12,Sugarcane
clay,27.42,80.26,1190.95,Sugarcane
clay,33.97,66.83,1637.35,Sugarcane
loamy,34.62,83.61,1290.43,Sugarcane
loamy,30.02,69.72,1696.17,Sugarcane
loamy,26.69,71.37,1069.36,Sugarcane
loamy,33.5,67.75,1200.82,Sugarcane
loamy,32.35,67.78,1493.88,Sugarcane
loamy,31.38,83.12,1013.3,Sugarcane
clay,34.02,75.98,1509.06,Sugarcane
loamy,25.33,70.76,1210.81,Sugarcane
clay,26.86,77.78,1435.97,Sugarcane
clay,25.33,83.1,1417.72,Sugarcane
clay,31.58,76.5,1502.98,Sugarcane
loamy,29.15,77.3,1168.39,Sugarcane
loamy,26.25,78.36,1366.44,Sugarcane
loamy,24.81,75.52,1355.13,Sugarcane
clay,28.69,74.4,1444.97,Sugarcane
clay,26.54,70.32,1473.11,Banana
clay,26.41,83.14,1062.2,Banana
clay,25.33,77.05,1203.13,Banana
loamy,32.3,83.69,1588.49,Banana
clay,30.32,86.23,1037.86,Banana
clay,24.37,74.03,1474.67,Banana
loamy,27.16,76.2,1238.93,Banana
clay,26.53,85.07,1114.66,Banana
clay,32.62,70.96,1393.44,Banana
clay,25.24,77.36,1533.69,Banana
clay,32.95,77.73,1584.23,Banana
clay,30.92,77.35,1478.37,Banana
clay,32.01,84.54,1047.36,Banana
loamy,29.45,76.42,1048.04,Banana
clay,27.06,82.05,1255.67,Banana
clay,27.52,70.85,1522.02,Banana
clay,30.15,78.7,1383.68,Banana
loamy,24.75,82.75,1217.99,Banana
loamy,33.53,72.86,1364.54,Banana
clay,24.35,71.34,1467.11,Banana
clay,27.62,88.99,1019.43,Banana
loamy,30.79,88.98,1223.21,Banana
loamy,29.74,80.59,1238.82,Banana
clay,26.5,72.27,1441.4,Banana
clay,29.18,88.27,1070.66,Banana
clay,31.04,74.29,1367.13,Banana
clay,26.0,72.71,1044.43,Banana
loamy,32.99,78.9,1052.67,Banana
clay,30.68,84.19,1330.0,Banana
clay,32.91,87.03,1427.09,Banana
loamy,31.94,80.18,1072.82,Banana
loamy,31.92,74.73,1296.41,Banana
clay,29.54,77.38,1482.2,Banana
loamy,30.12,71.72,1185.57,Banana
clay,29.26,85.38,1494.0,Banana
loamy,25.25,76.34,1044.5,Banana
clay,30.8,76.89,1526.78,Banana
loamy,31.68,72.58,1301.72,Banana
loamy,32.31,80.36,1182.47,Banana
loamy,27.23,84.19,1207.61,Banana
clay,32.46,75.01,1381.03,Banana
clay,25.25,76.06,1320.09,Banana
loamy,29.92,81.61,1102.72,Banana
clay,32.43,81.27,1495.14,Banana
loamy,24.81,88.97,1462.61,Banana
clay,30.51,85.34,1249.95,Banana
loamy,28.98,82.54,1173.8,Banana
clay,28.83,86.09,1410.99,Banana
clay,28.54,83.77,1094.85,Banana
clay,28.84,74.08,1364.0,Banana
clay,32.61,76.39,1592.81,Banana
clay,33.75,72.62,1222.32,Banana
loamy,27.19,79.33,1160.48,Banana
loamy,25.41,71.01,1567.23,Banana
clay,26.48,87.31,1095.82,Banana
clay,33.34,84.42,1113.9,Banana
loamy,28.98,80.29,1299.26,Banana
clay,28.97,71.8,1235.95,Banana
clay,33.67,74.3,1211.74,Banana
loamy,26.81,81.95,1505.71,Banana
alluvial,14.86,60.16,543.0,Potato
loamy,20.82,74.55,805.54,Potato
alluvial,12.45,61.02,724.73,Potato
alluvial,17.53,61.47,701.7,Potato
alluvial,20.25,72.46,744.42,Potato
loamy,21.75,67.88,817.96,Potato
alluvial,17.58,67.31,557.71,Potato
alluvial,17.0,60.91,554.81,Potato
alluvial,20.04,70.39,559.58,Potato
loamy,15.28,72.26,565.0,Potato
alluvial,17.94,70.15,703.89,Potato
alluvial,19.09,66.0,826.3,Potato
alluvial,15.31,62.19,666.62,Potato
alluvial,19.97,74.51,775.22,Potato
loamy,17.97,65.31,762.24,Potato
loamy,19.21,71.67,568.2,Potato
alluvial,13.48,73.61,512.63,Potato
loamy,13.91,68.82,667.51,Potato
alluvial,18.91,68.21,809.99,Potato
alluvial,20.73,74.72,524.91,Potato
loamy,17.19,71.22,899.25,Potato
alluvial,17.25,66.28,569.27,Potato
alluvial,17.46,73.52,847.06,Potato
alluvial,18.1,63.85,598.61,Potato
alluvial,14.25,79.46,619.05,Potato
alluvial,19.05,73.8,695.6,Potato
alluvial,15.49,78.67,818.16,Potato
alluvial,14.88,71.47,717.28,Potato
alluvial,20.18,79.09,821.85,Potato
alluvial,12.42,79.11,531.61,Potato
alluvial,18.56,74.95,585.59,Potato
alluvial,21.33,73.92,554.91,Potato
loamy,14.42,73.4,712.42,Potato
loamy,12.52,68.27,786.94,Potato
loamy,18.81,62.75,885.81,Potato
loamy,16.07,78.7,851.36,Potato
alluvial,18.51,75.12,614.9,Potato
alluvial,18.46,78.16,535.78,Potato
loamy,17.35,74.46,874.67,Potato
loamy,16.18,76.75,873.57,Potato
loamy,21.97,67.94,698.15,Potato
alluvial,20.77,60.19,727.18,Potato
loamy,21.28,66.7,681.74,Potato
alluvial,20.89,62.68,701.69,Potato
alluvial,13.93,62.25,565.0,Potato
alluvial,18.48,74.37,505.63,Potato
alluvial,19.91,71.36,802.91,Potato
loamy,18.11,72.77,662.2,Potato
alluvial,17.15,61.73,767.7,Potato
loamy,21.82,69.55,874.33,Potato
loamy,14.61,64.71,801.5,Potato
alluvial,15.02,74.46,504.57,Potato
alluvial,18.93,61.24,547.29,Potato
alluvial,13.6,73.72,869.24,Potato
alluvial,18.9,72.77,876.25,Potato
alluvial,18.15,64.38,553.43,Potato
loamy,16.55,79.78,649.45,Potato
alluvial,19.57,76.04,830.24,Potato
loamy,18.8,71.92,814.95,Potato
alluvial,17.28,67.24,866.9,Potato
loamy,12.62,50.95,451.65,Mustard
loamy,13.65,57.09,432.55,Mustard
loamy,19.17,49.78,569.67,Mustard
loamy,20.09,49.07,453.97,Mustard
loamy,17.64,51.18,501.83,Mustard
loamy,19.23,47.92,544.94,Mustard
loamy,17.78,40.91,403.36,Mustard
loamy,17.41,41.21,568.27,Mustard
loamy,12.32,48.18,530.69,Mustard
loamy,15.74,57.83,434.56,Mustard
loamy,15.76,53.65,498.54,Mustard
loamy,18.54,46.96,353.54,Mustard
loamy,17.29,54.56,366.81,Mustard
loamy,19.56,59.57,438.9,Mustard
loamy,17.32,56.47,374.25,Mustard
loamy,13.55,43.77,562.56,Mustard
loamy,12.32,53.2,484.48,Mustard
loamy,14.41,41.35,478.18,Mustard
loamy,17.98,54.07,314.6,Mustard
loamy,16.02,44.69,365.18,Mustard
loamy,13.4,59.87,370.25,Mustard
loamy,17.77,55.45,545.51,Mustard
loamy,15.02,42.87,498.06,Mustard
loamy,16.14,45.5,467.02,Mustard
loamy,18.26,48.54,448.69,Mustard
loamy,21.42,53.43,535.74,Mustard
loamy,18.96,48.17,389.97,Mustard
loamy,19.54,49.47,554.8,Mustard
loamy,20.58,42.89,438.91,Mustard
loamy,17.62,59.36,467.19,Mustard
loamy,15.88,45.1,399.08,Mustard
loamy,21.22,56.94,327.74,Mustard
loamy,12.52,47.54,481.49,Mustard
loamy,20.74,43.76,528.51,Mustard
loamy,16.79,57.39,399.89,Mustard
loamy,14.12,43.8,522.44,Mustard
loamy,21.14,53.91,511.13,Mustard
loamy,21.15,51.04,532.65,Mustard
loamy,16.66,52.97,392.53,Mustard
loamy,17.13,49.95,329.58,Mustard
loamy,19.62,46.4,360.94,Mustard
loamy,16.14,51.25,366.38,Mustard
loamy,12.16,51.07,475.21,Mustard
loamy,14.95,43.92,369.01,Mustard
loamy,16.99,53.09,505.45,Mustard
loamy,19.63,49.77,517.07,Mustard
loamy,16.61,54.66,405.65,Mustard
loamy,19.2,49.77,575.07,Mustard
loamy,17.24,56.78,322.3,Mustard
loamy,19.64,48.25,552.76,Mustard
loamy,12.68,43.02,365.62,Mustard
loamy,15.73,52.36,500.03,Mustard
loamy,18.59,40.31,459.66,Mustard
loamy,12.12,50.59,382.42,Mustard
loamy,12.17,56.26,502.21,Mustard
loamy,13.07,41.93,344.67,Mustard
loamy,18.2,45.05,406.33,Mustard
loamy,12.79,59.19,437.7,Mustard
loamy,21.9,44.52,505.21,Mustard
loamy,18.54,57.16,527.88,Mustard
black,24.05,67.54,838.0,Soybean
black,27.03,61.65,1022.66,Soybean
loamy,25.66,77.16,647.68,Soybean
black,22.3,78.03,946.14,Soybean
loamy,22.71,78.48,942.21,Soybean
loamy,28.99,71.27,616.45,Soybean
loamy,20.16,64.14,672.1,Soybean
loamy,29.29,65.99,881.98,Soybean
loamy,26.77,70.81,791.92,Soybean
black,27.9,73.79,639.21,Soybean
loamy,20.54,68.74,1019.34,Soybean
loamy,26.05,72.28,897.8,Soybean
loamy,20.3,65.47,1096.29,Soybean
loamy,22.28,71.06,787.71,Soybean
black,26.8,73.21,642.85,Soybean
loamy,27.98,74.26,641.02,Soybean
black,23.8,75.68,677.14,Soybean
loamy,23.17,62.13,602.6,Soybean
loamy,24.45,75.23,651.12,Soybean
black,21.87,68.98,877.37,Soybean
loamy,21.03,61.79,877.11,Soybean
loamy,28.64,60.25,806.91,Soybean
black,27.25,71.19,1096.37,Soybean
black,25.72,63.39,790.37,Soybean
black,22.69,65.37,672.97,Soybean
black,24.35,68.42,842.12,Soybean
black,23.61,78.88,960.45,Soybean
loamy,25.94,63.91,653.49,Soybean
loamy,20.07,67.91,1020.81,Soybean
loamy,28.04,66.59,767.37,Soybean
black,23.0,72.06,947.65,Soybean
loamy,23.14,79.29,1084.36,Soybean
loamy,27.35,72.66,1083.88,Soybean
black,23.26,65.61,992.93,Soybean
loamy,21.14,71.28,896.11,Soybean
black,26.82,71.0,1076.5,Soybean
loamy,29.43,64.19,998.84,Soybean
black,28.19,75.91,804.57,Soybean
loamy,21.39,66.06,726.34,Soybean
black,27.15,75.78,636.98,Soybean
loamy,25.82,70.69,1061.75,Soybean
loamy,25.44,75.81,779.76,Soybean
black,21.09,64.96,932.35,Soybean
black,26.47,60.89,1091.8,Soybean
loamy,29.67,66.63,998.12,Soybean
black,20.11,65.17,855.34,Soybean
black,24.46,67.82,986.17,Soybean
black,23.45,60.49,652.27,Soybean
loamy,29.21,61.72,1015.66,Soybean
black,23.48,66.86,992.13,Soybean
loamy,23.48,61.95,961.0,Soybean
loamy,23.19,66.01,1005.09,Soybean
black,20.23,66.86,654.68,Soybean
black,29.3,74.81,858.0,Soybean
black,23.31,68.53,831.03,Soybean
loamy,26.3,63.73,928.65,Soybean
loamy,20.29,72.28,698.66,Soybean
loamy,23.89,74.09,702.89,Soybean
black,25.77,75.99,868.44,Soybean
loamy,23.26,69.15,731.18,Soybean
black,29.86,85.98,1217.88,Rice
alluvial,28.1,72.86,1046.39,Rice
black,31.03,90.34,1294.19,Rice
sandy,34.94,84.75,1270.48,Rice
sandy,24.53,77.63,928.13,Rice
loamy,29.64,80.46,896.51,Rice
black,28.5,82.17,1176.17,Rice
loamy,30.21,82.24,898.21,Rice
sandy,33.95,85.49,1405.87,Rice
clay,29.3,74.88,1068.76,Rice
alluvial,18.09,49.85,626.58,Wheat
black,21.36,48.32,341.99,Wheat
alluvial,10.49,57.83,410.65,Wheat
sandy,13.6,43.66,679.41,Wheat
alluvial,21.88,57.98,552.35,Wheat
clay,19.16,43.04,548.71,Wheat
sandy,18.67,57.7,668.0,Wheat
black,18.74,64.69,306.33,Wheat
loamy,14.76,64.98,497.35,Wheat
sandy,23.8,37.61,725.91,Wheat
clay,28.41,52.11,845.89,Maize
alluvial,27.03,70.83,735.64,Maize
black,18.66,49.18,513.64,Maize
loamy,28.89,62.1,692.75,Maize
alluvial,24.62,54.71,787.23,Maize
sandy,25.16,73.57,682.93,Maize
clay,18.17,67.5,626.38,Maize
clay,31.88,71.01,469.79,Maize
loamy,19.99,66.34,855.66,Maize
black,23.83,62.32,547.79,Maize
black,24.5,47.27,697.3,Groundnut
clay,24.83,67.49,647.35,Groundnut
sandy,25.46,59.64,590.98,Groundnut
clay,28.77,58.75,632.07,Groundnut
sandy,30.2,68.87,498.86,Groundnut
black,29.9,59.84,461.43,Groundnut
sandy,24.05,62.34,583.07,Groundnut
black,29.46,71.82,681.13,Groundnut
clay,21.19,68.52,529.79,Groundnut
clay,31.15,49.74,528.26,Groundnut
black,23.44,65.66,479.15,Cotton
sandy,22.7,72.98,564.41,Cotton
sandy,24.26,56.16,942.28,Cotton
loamy,20.88,63.77,835.59,Cotton
loamy,27.3,47.74,457.11,Cotton
loamy,28.11,48.98,535.71,Cotton
black,20.16,65.87,890.27,Cotton
black,31.8,59.33,537.37,Cotton
clay,32.42,48.07,588.01,Cotton
sandy,22.33,68.2,851.89,Cotton
loamy,32.27,80.31,961.57,Sugarcane
alluvial,22.14,79.5,1296.09,Sugarcane
loamy,32.05,64.54,1270.54,Sugarcane
black,35.76,62.6,990.42,Sugarcane
clay,31.43,71.52,1766.92,Sugarcane
sandy,34.66,67.43,1480.16,Sugarcane
loamy,30.85,78.0,1446.83,Sugarcane
clay,35.57,79.75,1171.48,Sugarcane
alluvial,31.71,65.66,1252.58,Sugarcane
clay,34.54,83.81,1115.41,Sugarcane
black,23.58,79.99,1375.14,Banana
alluvial,34.44,65.36,1188.88,Banana
sandy,23.85,90.82,1354.7,Banana
sandy,29.65,70.18,1276.81,Banana
clay,22.23,67.03,1109.75,Banana
clay,34.92,93.46,1218.38,Banana
sandy,30.8,80.03,1232.35,Banana
black,23.15,81.1,1392.84,Banana
