date,crop,demand_tons,price_per_quintal
2023-11,Cotton,1102,1895
2023-12,Cotton,689,1898
2024-01,Cotton,712,1601
2024-02,Cotton,907,1851
2024-03,Cotton,1022,1862
2024-04,Cotton,1118,1356
2024-05,Cotton,1183,2079
2024-06,Cotton,798,1933
2024-07,Cotton,634,2122
2024-08,Cotton,1006,1425
2024-09,Cotton,620,2065
2024-10,Cotton,540,1633
2024-11,Cotton,1062,1175
2024-12,Cotton,566,1611
2025-01,Cotton,940,2177
2025-02,Cotton,782,1605
2025-03,Cotton,1061,1995
2025-04,Cotton,1230,2052
2025-05,Cotton,805,2217
2025-06,Cotton,786,2191
2025-07,Cotton,991,1794
2025-08,Cotton,539,1351
2025-09,Cotton,665,1694
2025-10,Cotton,948,1704
2025-11,Cotton,735,1175
2025-12,Cotton,1140,1996
2021-01,Sugarcane,2125,3162
2021-02,Sugarcane,1786,2791
2021-03,Sugarcane,1888,2737
2021-04,Sugarcane,2093,3122
2021-05,Sugarcane,1734,3652
2021-06,Sugarcane,1854,2883
2021-07,Sugarcane,1922,3316
2021-08,Sugarcane,1651,3417
2021-09,Sugarcane,1649,3428
2021-10,Sugarcane,1814,2918
2021-11,Sugarcane,1722,2984
2021-12,Sugarcane,1967,3314
2022-01,Sugarcane,1707,3281
2022-02,Sugarcane,1763,3098
2022-03,Sugarcane,2267,2763
2022-04,Sugarcane,1788,3349
2022-05,Sugarcane,1829,2988
2022-06,Sugarcane,1982,3104
2022-07,Sugarcane,2000,3107
2022-08,Sugarcane,1792,2671
2022-09,Sugarcane,1612,3474
2022-10,Sugarcane,1649,3294
2022-11,Sugarcane,1724,2842
2022-12,Sugarcane,1763,2717
2023-01,Sugarcane,1769,2931
2023-02,Sugarcane,2048,3528
2023-03,Sugarcane,2164,3212
2023-04,Sugarcane,1739,3459
2023-05,Sugarcane,1783,2700
2023-06,Sugarcane,2158,2692
2023-07,Sugarcane,1853,3383
2023-08,Sugarcane,1872,2722
2023-09,Sugarcane,1697,2992
2023-10,Sugarcane,1978,3277
2023-11,Sugarcane,1911,3143
2023-12,Sugarcane,1916,3130
2024-01,Sugarcane,1700,3591
2024-02,Sugarcane,2198,3296
2024-03,Sugarcane,2225,3513
2024-04,Sugarcane,2309,3422
2024-05,Sugarcane,2173,2776
2024-06,Sugarcane,1844,3487
2024-07,Sugarcane,1817,3170
2024-08,Sugarcane,2025,2562
2024-09,Sugarcane,1613,3199
2024-10,Sugarcane,2142,2779
2024-11,Sugarcane,1835,3361
2024-12,Sugarcane,1780,3437
2025-01,Sugarcane,2227,3490
2025-02,Sugarcane,2300,3473
2025-03,Sugarcane,1801,3190
2025-04,Sugarcane,1785,3211
2025-05,Sugarcane,2104,3129
2025-06,Sugarcane,1800,3011
2025-07,Sugarcane,2069,3317
2025-08,Sugarcane,2062,3317
2025-09,Sugarcane,1753,3148
2025-10,Sugarcane,1596,3098
2025-11,Sugarcane,2129,3470
2025-12,Sugarcane,1871,3437
2021-01,Barley,2620,1799
2021-02,Barley,2344,1440
2021-03,Barley,2323,1220
2021-04,Barley,2130,1631
2021-05,Barley,2529,1300
2021-06,Barley,2521,1375
2021-07,Barley,2106,1243
2021-08,Barley,2422,1482
2021-09,Barley,2364,1645
2021-10,Barley,2292,1011
2021-11,Barley,2222,1183
2021-12,Barley,2569,1477
2022-01,Barley,2381,1891
2022-02,Barley,2305,2019
2022-03,Barley,2145,1361
2022-04,Barley,2436,1954
2022-05,Barley,2530,1379
2022-06,Barley,2181,1868
2022-07,Barley,2001,1921
2022-08,Barley,2390,1882
2022-09,Barley,2081,1969
2022-10,Barley,1949,1443
2022-11,Barley,2265,1533
2022-12,Barley,2140,1616
2023-01,Barley,2243,1994
2023-02,Barley,2269,1481
2023-03,Barley,2537,2144
2023-04,Barley,2180,1844
2023-05,Barley,2163,1261
2023-06,Barley,2093,1108
2023-07,Barley,2017,1748
2023-08,Barley,2021,1801
2023-09,Barley,2057,1086
2023-10,Barley,2191,1615
2023-11,Barley,2487,1770
2023-12,Barley,2429,1517
2024-01,Barley,2441,1225
2024-02,Barley,2495,1183
2024-03,Barley,2258,1685
2024-04,Barley,2178,2162
2024-05,Barley,2138,1372
2024-06,Barley,2417,1300
2024-07,Barley,2375,1550
2024-08,Barley,2484,1761
2024-09,Barley,2156,1404
2024-10,Barley,2461,1361
2024-11,Barley,2060,1706
2024-12,Barley,2418,1608
2025-01,Barley,2049,1268
2025-02,Barley,2143,1626
2025-03,Barley,2690,1280
2025-04,Barley,2247,2108
2025-05,Barley,2598,2111
2025-06,Barley,2410,1604
2025-07,Barley,2181,1038
2025-08,Barley,2047,1010
2025-09,Barley,1910,1072
2025-10,Barley,1991,1442
2025-11,Barley,2488,1793
2025-12,Barley,2224,1096
2021-01,Millet,2268,3452
2021-02,Millet,2171,3667
2021-03,Millet,2144,4281
2021-04,Millet,2286,3368
2021-05,Millet,1711,3697
2021-06,Millet,1872,3555
2021-07,Millet,2048,3773
2021-08,Millet,1843,3106
2021-09,Millet,1658,3543
2021-10,Millet,1634,3993
2021-11,Millet,2077,3475
2021-12,Millet,1772,3346
2022-01,Millet,2270,3760
2022-02,Millet,2113,4127
2022-03,Millet,2337,3459
2022-04,Millet,2061,3699
2022-05,Millet,1792,3299
2022-06,Millet,1985,3429
2022-07,Millet,1703,3480
2022-08,Millet,1931,3932
2022-09,Millet,2083,3402
2022-10,Millet,2110,3954
2022-11,Millet,1779,3375
2022-12,Millet,2060,3443
2023-01,Millet,2223,3504
2023-02,Millet,1871,4111
2023-03,Millet,2242,4163
2023-04,Millet,1970,3376
2023-05,Millet,2208,3256
2023-06,Millet,1813,3328
2023-07,Millet,1973,3575
2023-08,Millet,2041,3837
2023-09,Millet,1617,3493
2023-10,Millet,1856,3352
2023-11,Millet,1816,3221
2023-12,Millet,1732,3604
2024-01,Millet,2114,3419
2024-02,Millet,1966,4267
2024-03,Millet,1870,3314
2024-04,Millet,2286,3590
2024-05,Millet,2121,3530
2024-06,Millet,1814,3483
2024-07,Millet,2110,3266
2024-08,Millet,1919,3984
2024-09,Millet,1565,3879
2024-10,Millet,1730,3809
2024-11,Millet,2054,3606
2024-12,Millet,2137,3398
2025-01,Millet,1707,3297
2025-02,Millet,2004,3602
2025-03,Millet,2334,3297
2025-04,Millet,2161,3317
2025-05,Millet,1964,3526
2025-06,Millet,2137,3806
2025-07,Millet,2040,4027
2025-08,Millet,1667,3378
2025-09,Millet,2021,3772
2025-10,Millet,1795,3811
2025-11,Millet,2024,4119
2025-12,Millet,1951,3429
2021-01,Groundnut,2448,4412
2021-02,Groundnut,2687,4281
2021-03,Groundnut,2385,4145
2021-04,Groundnut,2492,4465
2021-05,Groundnut,2645,4083
2021-06,Groundnut,2677,3451
2021-07,Groundnut,2571,3451
2021-08,Groundnut,2325,4311
2021-09,Groundnut,2482,3466
2021-10,Groundnut,2381,3676
2021-11,Groundnut,2297,4284
2021-12,Groundnut,2588,4212
2022-01,Groundnut,2503,4411
2022-02,Groundnut,2258,3997
2022-03,Groundnut,2548,4023
2022-04,Groundnut,2381,4207
2022-05,Groundnut,2601,4335
2022-06,Groundnut,2259,3477
2022-07,Groundnut,2544,3396
2022-08,Groundnut,2391,4136
2022-09,Groundnut,2476,3378
2022-10,Groundnut,2157,4241
2022-11,Groundnut,2522,3469
2022-12,Groundnut,2105,3735
2023-01,Groundnut,2396,3597
2023-02,Groundnut,2666,3744
2023-03,Groundnut,2409,3929
2023-04,Groundnut,2651,4312
2023-05,Groundnut,2592,3777
2023-06,Groundnut,2655,3966
2023-07,Groundnut,2544,3483
2023-08,Groundnut,2532,3995
2023-09,Groundnut,2093,3480
2023-10,Groundnut,2038,4032
2023-11,Groundnut,2553,3880
2023-12,Groundnut,2636,3801
2024-01,Groundnut,2459,3962
2024-02,Groundnut,2421,4047
2024-03,Groundnut,2654,4088
2024-04,Groundnut,2587,3905
2024-05,Groundnut,2607,4023
2024-06,Groundnut,2634,4419
2024-07,Groundnut,2611,4360
2024-08,Groundnut,2171,3706
2024-09,Groundnut,2554,3829
2024-10,Groundnut,2408,3355
2024-11,Groundnut,2158,4128
2024-12,Groundnut,2297,3802
2025-01,Groundnut,2641,4371
2025-02,Groundnut,2561,3984
2025-03,Groundnut,2649,4275
2025-04,Groundnut,2637,4028
2025-05,Groundnut,2481,4174
2025-06,Groundnut,2546,3774
2025-07,Groundnut,2475,3770
2025-08,Groundnut,2459,4312
2025-09,Groundnut,2245,3677
2025-10,Groundnut,2082,3982
2025-11,Groundnut,2195,4157
2025-12,Groundnut,2167,3841
2021-01,Soybean,2663,1448
2021-02,Soybean,2668,1274
2021-03,Soybean,2796,1840
2021-04,Soybean,2805,1947
2021-05,Soybean,2496,1792
2021-06,Soybean,2252,1895
2021-07,Soybean,2357,1841
2021-08,Soybean,2249,1003
2021-09,Soybean,2691,1532
2021-10,Soybean,2473,1331
2021-11,Soybean,2363,1516
2021-12,Soybean,2474,1708
2022-01,Soybean,2507,1190
2022-02,Soybean,2392,1456
2022-03,Soybean,2313,1986
2022-04,Soybean,2778,1333
2022-05,Soybean,2349,1453
2022-06,Soybean,2253,1504
2022-07,Soybean,2154,1588
2022-08,Soybean,2554,1126
2022-09,Soybean,2399,1835
2022-10,Soybean,2223,1923
2022-11,Soybean,2424,1469
2022-12,Soybean,2794,1913
2023-01,Soybean,2487,1573
2023-02,Soybean,2464,2042
2023-03,Soybean,2480,1549
2023-04,Soybean,2829,1378
2023-05,Soybean,2536,1968
2023-06,Soybean,2314,1447
2023-07,Soybean,2422,1969
2023-08,Soybean,2430,1651
2023-09,Soybean,2296,1471
2023-10,Soybean,2655,1913
2023-11,Soybean,2179,1658
2023-12,Soybean,2566,1946
2024-01,Soybean,2485,1561
2024-02,Soybean,2322,1435
2024-03,Soybean,2582,1755
2024-04,Soybean,2400,1701
2024-05,Soybean,2816,1712
2024-06,Soybean,2208,1365
2024-07,Soybean,2253,1649
2024-08,Soybean,2530,1929
2024-09,Soybean,2358,1229
2024-10,Soybean,2386,1507
2024-11,Soybean,2658,1237
2024-12,Soybean,2748,1735
2025-01,Soybean,2428,1475
2025-02,Soybean,2653,1994
2025-03,Soybean,2889,1556
2025-04,Soybean,2685,1456
2025-05,Soybean,2773,1113
2025-06,Soybean,2661,1849
2025-07,Soybean,2162,1576
2025-08,Soybean,2670,1800
2025-09,Soybean,2133,1690
2025-10,Soybean,2374,1812
2025-11,Soybean,2179,1510
2025-12,Soybean,2370,1061
2021-01,Pulses,1621,3627
2021-02,Pulses,1979,3662
2021-03,Pulses,1849,4177
2021-04,Pulses,1831,3523
2021-05,Pulses,1689,4355
2021-06,Pulses,1826,4087
2021-07,Pulses,2029,3664
2021-08,Pulses,1589,3941
2021-09,Pulses,1628,3962
2021-10,Pulses,1440,4177
2021-11,Pulses,2001,3472
2021-12,Pulses,1592,4285
2022-01,Pulses,1766,4145
2022-02,Pulses,1732,3608
2022-03,Pulses,1891,3528
2022-04,Pulses,1848,3953
2022-05,Pulses,2118,3927
2022-06,Pulses,1876,3350
2022-07,Pulses,1879,3570
2022-08,Pulses,1880,3377
2022-09,Pulses,1623,4117
2022-10,Pulses,1671,3432
2022-11,Pulses,1753,3870
2022-12,Pulses,1884,3892
2023-01,Pulses,2131,4135
2023-02,Pulses,2000,4079
2023-03,Pulses,2035,4322
2023-04,Pulses,2100,4088
2023-05,Pulses,1990,3679
2023-06,Pulses,1773,3792
2023-07,Pulses,1742,3454
2023-08,Pulses,1460,3659
2023-09,Pulses,1487,3735
2023-10,Pulses,1748,4211
2023-11,Pulses,1974,4044
2023-12,Pulses,1812,4267
2024-01,Pulses,1804,3615
2024-02,Pulses,1920,4115
2024-03,Pulses,1942,4387
2024-04,Pulses,1615,4111
2024-05,Pulses,1685,4075
2024-06,Pulses,1825,4224
2024-07,Pulses,1671,3927
2024-08,Pulses,1757,3448
2024-09,Pulses,1825,3568
2024-10,Pulses,1931,3375
2024-11,Pulses,1664,3618
2024-12,Pulses,1847,3639
2025-01,Pulses,1906,3639
2025-02,Pulses,1833,4034
2025-03,Pulses,1999,4020
2025-04,Pulses,1601,3667
2025-05,Pulses,1956,4333
2025-06,Pulses,1813,3585
2025-07,Pulses,1799,3474
2025-08,Pulses,1771,3302
2025-09,Pulses,1646,3729
2025-10,Pulses,1442,3279
2025-11,Pulses,1869,3600
2025-12,Pulses,1794,3570
2021-01,Chickpea,655,3338
2021-02,Chickpea,1106,2869
2021-03,Chickpea,783,3218
2021-04,Chickpea,1124,2666
2021-05,Chickpea,1116,2946
2021-06,Chickpea,834,3130
2021-07,Chickpea,754,2529
2021-08,Chickpea,1006,3139
2021-09,Chickpea,729,3051
2021-10,Chickpea,968,3306
2021-11,Chickpea,837,3009
2021-12,Chickpea,1143,2877
2022-01,Chickpea,680,3236
2022-02,Chickpea,737,2966
2022-03,Chickpea,853,2620
2022-04,Chickpea,1143,2893
2022-05,Chickpea,1081,2860
2022-06,Chickpea,559,2885
2022-07,Chickpea,977,3352
2022-08,Chickpea,569,2877
2022-09,Chickpea,801,2860
2022-10,Chickpea,1061,3057
2022-11,Chickpea,1006,2972
2022-12,Chickpea,843,3331
2023-01,Chickpea,795,3001
2023-02,Chickpea,1014,3335
2023-03,Chickpea,796,3286
2023-04,Chickpea,1058,3384
2023-05,Chickpea,659,2961
2023-06,Chickpea,1030,2882
2023-07,Chickpea,897,3409
2023-08,Chickpea,568,3307
2023-09,Chickpea,473,2863
2023-10,Chickpea,679,2540
2023-11,Chickpea,942,3080
2023-12,Chickpea,778,2858
2024-01,Chickpea,735,3261
2024-02,Chickpea,887,3126
2024-03,Chickpea,1225,3200
2024-04,Chickpea,1053,2852
2024-05,Chickpea,1050,3357
2024-06,Chickpea,1029,3018
2024-07,Chickpea,606,2904
2024-08,Chickpea,956,2928
2024-09,Chickpea,760,2518
2024-10,Chickpea,533,3229
2024-11,Chickpea,547,2848
2024-12,Chickpea,989,3302
2025-01,Chickpea,998,2849
2025-02,Chickpea,1025,3291
2025-03,Chickpea,978,2622
2025-04,Chickpea,1158,3485
2025-05,Chickpea,855,3405
2025-06,Chickpea,778,2932
2025-07,Chickpea,772,2469
2025-08,Chickpea,702,2504
2025-09,Chickpea,519,2832
2025-10,Chickpea,684,3395
2025-11,Chickpea,882,2937
2025-12,Chickpea,1082,2761
2021-01,Lentil,2063,2373
2021-02,Lentil,1757,2408
2021-03,Lentil,2162,2152
2021-04,Lentil,2322,2685
2021-05,Lentil,1888,2355
2021-06,Lentil,2167,2191
2021-07,Lentil,2199,2341
2021-08,Lentil,1963,1897
2021-09,Lentil,1932,2039
2021-10,Lentil,2110,2691
2021-11,Lentil,1975,2796
2021-12,Lentil,2216,2597
2022-01,Lentil,1717,1999
2022-02,Lentil,1755,2031
2022-03,Lentil,2226,2100
2022-04,Lentil,1767,2923
2022-05,Lentil,2181,2606
2022-06,Lentil,1996,2477
2022-07,Lentil,1951,2078
2022-08,Lentil,2008,1931
2022-09,Lentil,1921,2154
2022-10,Lentil,1884,2616
2022-11,Lentil,1645,2748
2022-12,Lentil,1700,2766
2023-01,Lentil,1779,2237
2023-02,Lentil,2116,2503
2023-03,Lentil,2066,2215
2023-04,Lentil,1798,2685
2023-05,Lentil,1817,2619
2023-06,Lentil,1852,2108
2023-07,Lentil,1688,2063
2023-08,Lentil,1612,2531
2023-09,Lentil,1797,2009
2023-10,Lentil,1698,2153
2023-11,Lentil,1941,2445
2023-12,Lentil,1772,2767
2024-01,Lentil,1878,2518
2024-02,Lentil,1940,2924
2024-03,Lentil,2094,2599
2024-04,Lentil,2319,2489
2024-05,Lentil,2134,2342
2024-06,Lentil,2119,2275
2024-07,Lentil,2177,2069
2024-08,Lentil,1702,2528
2024-09,Lentil,2094,2668
2024-10,Lentil,1613,2199
2024-11,Lentil,2060,2803
2024-12,Lentil,2251,2381
2025-01,Lentil,2258,2891
2025-02,Lentil,1886,2462
2025-03,Lentil,2319,2326
2025-04,Lentil,1778,2245
2025-05,Lentil,1920,2914
2025-06,Lentil,1821,2773
2025-07,Lentil,2174,2136
2025-08,Lentil,1680,1814
2025-09,Lentil,1710,1907
2025-10,Lentil,2143,2646
2025-11,Lentil,2061,2396
2025-12,Lentil,2120,2774
2021-01,Mustard,1959,3443
2021-02,Mustard,2318,2778
2021-03,Mustard,2163,2787
2021-04,Mustard,2283,3540
2021-05,Mustard,1912,3383
2021-06,Mustard,2291,3184
2021-07,Mustard,2000,3460
2021-08,Mustard,2139,3214
2021-09,Mustard,1876,3071
2021-10,Mustard,2309,2498
2021-11,Mustard,2360,2678
2021-12,Mustard,1874,3215
2022-01,Mustard,2237,3303
2022-02,Mustard,2105,3415
2022-03,Mustard,2157,2798
2022-04,Mustard,2427,2871
2022-05,Mustard,2309,3213
2022-06,Mustard,1973,3201
2022-07,Mustard,2002,3299
2022-08,Mustard,2244,3330
2022-09,Mustard,2305,3346
2022-10,Mustard,1920,3329
2022-11,Mustard,1845,2642
2022-12,Mustard,2270,2786
2023-01,Mustard,2425,2865
2023-02,Mustard,2349,2795
2023-03,Mustard,1979,3177
2023-04,Mustard,2134,2698
2023-05,Mustard,2069,3126
2023-06,Mustard,2397,2604
2023-07,Mustard,1811,2517
2023-08,Mustard,2251,3337
2023-09,Mustard,1970,3367
2023-10,Mustard,2038,3057
2023-11,Mustard,1828,2572
2023-12,Mustard,1921,2593
2024-01,Mustard,2485,2693
2024-02,Mustard,2212,3009
2024-03,Mustard,2245,3469
2024-04,Mustard,2408,3250
2024-05,Mustard,2192,2902
2024-06,Mustard,1878,3387
2024-07,Mustard,2081,3311
2024-08,Mustard,2347,2897
2024-09,Mustard,2131,2441
2024-10,Mustard,1957,2517
2024-11,Mustard,2086,2738
2024-12,Mustard,1968,2986
2025-01,Mustard,2421,2932
2025-02,Mustard,2021,2935
2025-03,Mustard,2450,3157
2025-04,Mustard,2195,2778
2025-05,Mustard,2373,3230
2025-06,Mustard,2128,2855
2025-07,Mustard,2061,2597
2025-08,Mustard,2275,2955
2025-09,Mustard,1826,3182
2025-10,Mustard,2259,3099
2025-11,Mustard,2183,2823
2025-12,Mustard,1929,3104
2021-01,Sunflower,1816,1317
2021-02,Sunflower,1802,1809
2021-03,Sunflower,1548,1827
2021-04,Sunflower,1773,1918
2021-05,Sunflower,1969,1602
2021-06,Sunflower,1708,1725
2021-07,Sunflower,1662,1821
2021-08,Sunflower,1463,1481
2021-09,Sunflower,1570,1523
2021-10,Sunflower,1532,1474
2021-11,Sunflower,1363,1190
2021-12,Sunflower,1659,1981
2022-01,Sunflower,1900,1595
2022-02,Sunflower,1646,1542
2022-03,Sunflower,2040,2021
2022-04,Sunflower,2036,1724
2022-05,Sunflower,1722,2188
2022-06,Sunflower,1614,1704
2022-07,Sunflower,1701,1185
2022-08,Sunflower,1461,1209
2022-09,Sunflower,1732,1412
2022-10,Sunflower,1750,1249
2022-11,Sunflower,1749,1898
2022-12,Sunflower,1395,1940
2023-01,Sunflower,1564,1708
2023-02,Sunflower,1826,1996
2023-03,Sunflower,2031,2099
2023-04,Sunflower,1744,1651
2023-05,Sunflower,2003,1524
2023-06,Sunflower,1749,1625
2023-07,Sunflower,1747,1146
2023-08,Sunflower,1439,1287
2023-09,Sunflower,1731,1624
2023-10,Sunflower,1744,1390
2023-11,Sunflower,1532,1139
2023-12,Sunflower,1873,1620
2024-01,Sunflower,1628,1966
2024-02,Sunflower,1561,1649
2024-03,Sunflower,1486,2070
2024-04,Sunflower,1802,1738
2024-05,Sunflower,1993,1249
2024-06,Sunflower,1635,2121
2024-07,Sunflower,1388,1562
2024-08,Sunflower,1714,1485
2024-09,Sunflower,1571,1897
2024-10,Sunflower,1422,1216
2024-11,Sunflower,1546,1254
2024-12,Sunflower,1417,1418
2025-01,Sunflower,1776,1481
2025-02,Sunflower,1643,1932
2025-03,Sunflower,1730,1975
2025-04,Sunflower,1986,1607
2025-05,Sunflower,1997,1343
2025-06,Sunflower,1634,1899
2025-07,Sunflower,1746,2100
2025-08,Sunflower,1359,1158
2025-09,Sunflower,1718,1305
2025-10,Sunflower,1520,1455
2025-11,Sunflower,1524,1754
2025-12,Sunflower,1593,1650
2021-01,Jowar,2735,2875
2021-02,Jowar,2386,2588
2021-03,Jowar,2512,2729
2021-04,Jowar,2383,3023
2021-05,Jowar,2386,2046
2021-06,Jowar,2535,2477
2021-07,Jowar,2641,2850
2021-08,Jowar,2299,2621
2021-09,Jowar,2410,2418
2021-10,Jowar,2313,2312
2021-11,Jowar,2553,1962
2021-12,Jowar,2203,2074
2022-01,Jowar,2502,2569
2022-02,Jowar,2878,2586
2022-03,Jowar,2796,2705
2022-04,Jowar,2733,2911
2022-05,Jowar,2552,2091
2022-06,Jowar,2265,2634
2022-07,Jowar,2654,2835
2022-08,Jowar,2430,2823
2022-09,Jowar,2559,2598
2022-10,Jowar,2335,2307
2022-11,Jowar,2276,2440
2022-12,Jowar,2325,2822
2023-01,Jowar,2788,2033
2023-02,Jowar,2468,2641
2023-03,Jowar,2475,2332
2023-04,Jowar,2855,2342
2023-05,Jowar,2710,2775
2023-06,Jowar,2255,2192
2023-07,Jowar,2180,2106
2023-08,Jowar,2662,2821
2023-09,Jowar,2175,2387
2023-10,Jowar,2430,2863
2023-11,Jowar,2597,2726
2023-12,Jowar,2588,2380
2024-01,Jowar,2501,2797
