soil_type,season,temperature,humidity,rainfall,crop
clay,Kharif,28.76,83.5,143.52,Rice
clay,Kharif,31.53,81.39,177.89,Rice
clay,Kharif,28.96,78.38,178.37,Rice
alluvial,Kharif,31.48,74.09,191.62,Rice
clay,Kharif,26.12,72.62,184.55,Rice
alluvial,Kharif,26.53,85.04,127.25,Rice
alluvial,Kharif,28.97,81.26,130.0,Rice
clay,Kharif,28.05,72.65,154.9,Rice
clay,Kharif,31.03,77.39,135.77,Rice
alluvial,Kharif,28.89,89.74,185.4,Rice
clay,Kharif,29.34,81.09,213.18,Rice
clay,Kharif,31.51,72.69,131.54,Rice
clay,Kharif,29.94,73.11,148.18,Rice
clay,Kharif,29.74,74.07,183.42,Rice
alluvial,Kharif,28.04,75.02,210.82,Rice
clay,Kharif,24.74,78.47,147.67,Rice
clay,Kharif,26.67,72.62,217.98,Rice
clay,Kharif,29.93,81.03,162.77,Rice
clay,Kharif,24.89,88.9,189.1,Rice
clay,Kharif,28.36,86.69,178.25,Rice
clay,Kharif,27.44,70.84,156.47,Rice
clay,Kharif,31.19,74.2,144.95,Rice
clay,Kharif,26.83,81.2,207.47,Rice
clay,Kharif,31.41,74.73,136.25,Rice
clay,Kharif,31.05,70.5,193.66,Rice
alluvial,Kharif,30.26,78.23,186.99,Rice
clay,Kharif,26.13,85.75,130.81,Rice
clay,Kharif,30.87,74.45,201.66,Rice
alluvial,Kharif,26.8,86.41,207.13,Rice
clay,Kharif,24.19,73.86,152.83,Rice
clay,Kharif,31.74,75.58,184.15,Rice
alluvial,Kharif,29.44,86.87,153.11,Rice
clay,Kharif,24.92,89.41,137.86,Rice
alluvial,Kharif,24.31,81.93,154.57,Rice
alluvial,Kharif,27.49,89.68,131.56,Rice
clay,Kharif,26.04,84.18,120.17,Rice
clay,Kharif,26.91,71.4,186.42,Rice
alluvial,Kharif,28.99,83.27,132.46,Rice
alluvial,Kharif,28.06,83.34,152.62,Rice
alluvial,Kharif,28.44,73.84,186.49,Rice
alluvial,Kharif,29.42,88.06,181.55,Rice
alluvial,Kharif,27.25,86.67,150.39,Rice
clay,Kharif,27.44,81.6,185.47,Rice
alluvial,Kharif,27.53,83.51,171.12,Rice
clay,Kharif,29.27,75.68,186.39,Rice
alluvial,Kharif,24.75,89.04,143.49,Rice
alluvial,Kharif,25.8,73.98,122.44,Rice
clay,Kharif,31.87,82.23,196.85,Rice
alluvial,Kharif,27.32,82.6,139.44,Rice
alluvial,Kharif,27.96,74.88,185.61,Rice
clay,Kharif,31.14,87.21,208.55,Rice
alluvial,Kharif,25.75,86.08,189.59,Rice
alluvial,Kharif,24.4,74.98,204.83,Rice
alluvial,Kharif,25.07,79.29,173.11,Rice
alluvial,Kharif,31.6,87.83,181.27,Rice
alluvial,Kharif,30.64,80.96,209.72,Rice
alluvial,Kharif,27.6,85.04,203.99,Rice
alluvial,Kharif,30.13,80.43,182.67,Rice
alluvial,Kharif,27.52,84.27,143.45,Rice
alluvial,Kharif,26.56,80.8,133.84,Rice
clay,Kharif,27.06,73.06,141.4,Rice
alluvial,Kharif,22.08,65.85,80.79,Maize
loamy,Kharif,26.33,62.79,98.49,Maize
loamy,Kharif,26.57,70.31,79.02,Maize
loamy,Kharif,27.43,60.97,79.5,Maize
alluvial,Kharif,23.38,69.69,99.99,Maize
loamy,Kharif,22.88,60.46,84.28,Maize
alluvial,Kharif,21.36,68.58,80.22,Maize
loamy,Kharif,26.41,73.39,109.04,Maize
loamy,Kharif,27.07,66.84,93.15,Maize
loamy,Kharif,24.43,57.71,83.08,Maize
loamy,Kharif,20.6,61.55,82.73,Maize
alluvial,Kharif,25.61,62.58,97.6,Maize
alluvial,Kharif,20.52,56.64,60.97,Maize
loamy,Kharif,28.0,62.0,92.51,Maize
loamy,Kharif,25.54,73.99,69.97,Maize
loamy,Kharif,24.21,59.77,83.68,Maize
loamy,Kharif,23.64,59.36,94.97,Maize
alluvial,Kharif,19.68,67.14,97.4,Maize
loamy,Kharif,25.78,58.28,75.55,Maize
loamy,Kharif,27.29,66.52,105.4,Maize
alluvial,Kharif,21.97,69.3,63.8,Maize
loamy,Kharif,19.02,70.45,102.51,Maize
loamy,Kharif,25.96,66.32,62.05,Maize
alluvial,Kharif,24.62,56.38,92.38,Maize
loamy,Kharif,26.5,71.45,65.28,Maize
alluvial,Kharif,24.36,71.57,95.37,Maize
alluvial,Kharif,19.76,65.43,92.52,Maize
alluvial,Kharif,22.65,71.51,89.62,Maize
alluvial,Kharif,26.52,71.61,64.33,Maize
alluvial,Kharif,20.44,64.29,90.52,Maize
alluvial,Kharif,21.36,64.89,76.25,Maize
alluvial,Kharif,20.12,70.96,77.02,Maize
alluvial,Kharif,23.56,65.33,69.55,Maize
loamy,Kharif,25.2,64.77,97.91,Maize
alluvial,Kharif,24.46,64.82,99.65,Maize
loamy,Kharif,20.94,63.09,72.17,Maize
alluvial,Kharif,22.73,65.62,81.28,Maize
alluvial,Kharif,21.52,64.07,75.33,Maize
loamy,Kharif,19.21,58.85,65.98,Maize
loamy,Kharif,19.92,69.77,73.82,Maize
alluvial,Kharif,27.81,71.65,74.81,Maize
alluvial,Kharif,19.79,55.28,86.71,Maize
alluvial,Kharif,18.46,56.09,74.61,Maize
loamy,Kharif,24.38,70.06,65.13,Maize
loamy,Kharif,23.74,64.39,82.02,Maize
loamy,Kharif,27.65,60.05,103.09,Maize
loamy,Kharif,26.22,63.01,63.7,Maize
loamy,Kharif,19.52,71.22,107.46,Maize
loamy,Kharif,27.94,57.37,98.22,Maize
loamy,Kharif,25.76,62.61,105.43,Maize
alluvial,Kharif,26.6,74.8,75.27,Maize
loamy,Kharif,24.1,69.8,107.38,Maize
loamy,Kharif,24.26,60.29,64.06,Maize
loamy,Kharif,19.74,56.5,60.13,Maize
alluvial,Kharif,24.89,64.4,61.63,Maize
alluvial,Kharif,25.07,69.06,82.7,Maize
loamy,Kharif,27.24,70.76,91.25,Maize
loamy,Kharif,22.25,65.89,92.38,Maize
alluvial,Kharif,26.27,56.43,68.3,Maize
alluvial,Kharif,23.95,71.48,106.06,Maize
alluvial,Kharif,19.24,68.77,94.99,Maize
alluvial,Kharif,23.0,64.88,64.02,Maize
loamy,Kharif,26.89,69.69,90.19,Maize
loamy,Kharif,18.91,74.24,101.8,Maize
loamy,Kharif,28.0,68.45,73.48,Maize
loamy,Kharif,25.63,58.5,85.95,Maize
alluvial,Kharif,27.16,58.63,89.27,Maize
alluvial,Kharif,27.69,64.4,80.42,Maize
alluvial,Kharif,24.7,72.15,76.49,Maize
alluvial,Kharif,20.88,73.9,100.68,Maize
loamy,Kharif,22.55,61.29,76.16,Maize
alluvial,Kharif,26.65,71.5,60.06,Maize
alluvial,Kharif,22.13,58.75,78.09,Maize
alluvial,Kharif,24.25,70.2,70.18,Maize
loamy,Kharif,27.28,63.76,94.91,Maize
loamy,Kharif,18.29,67.6,99.97,Maize
loamy,Kharif,21.11,55.27,80.4,Maize
loamy,Kharif,27.92,73.26,83.07,Maize
loamy,Kharif,24.48,58.08,106.63,Maize
alluvial,Kharif,23.09,60.47,101.74,Maize
alluvial,Kharif,20.44,66.03,79.18,Maize
loamy,Kharif,26.64,60.52,99.5,Maize
alluvial,Kharif,21.4,70.75,73.36,Maize
loamy,Kharif,20.83,60.97,89.35,Maize
alluvial,Kharif,26.65,63.93,84.22,Maize
alluvial,Kharif,23.52,65.87,82.77,Maize
alluvial,Kharif,26.7,74.62,71.94,Maize
alluvial,Kharif,20.34,70.51,62.18,Maize
alluvial,Kharif,25.05,71.23,79.3,Maize
loamy,Kharif,22.95,55.74,85.11,Maize
alluvial,Kharif,26.7,72.48,82.02,Maize
alluvial,Kharif,18.15,57.88,103.55,Maize
loamy,Kharif,18.75,70.63,73.25,Maize
alluvial,Kharif,24.5,72.04,102.62,Maize
alluvial,Kharif,27.54,67.54,104.37,Maize
alluvial,Kharif,26.72,55.72,63.42,Maize
alluvial,Kharif,27.97,69.94,81.7,Maize
loamy,Kharif,25.6,69.08,65.03,Maize
loamy,Kharif,24.94,73.07,62.3,Maize
loamy,Kharif,20.93,62.5,67.28,Maize
alluvial,Kharif,23.66,70.85,68.5,Maize
loamy,Kharif,24.09,62.65,94.16,Maize
alluvial,Kharif,27.13,57.86,83.06,Maize
alluvial,Kharif,22.6,68.34,104.95,Maize
alluvial,Kharif,27.01,68.55,67.9,Maize
alluvial,Kharif,27.45,74.75,74.96,Maize
alluvial,Kharif,24.9,64.14,75.11,Maize
alluvial,Kharif,26.53,57.13,79.07,Maize
alluvial,Kharif,23.75,74.85,74.76,Maize
alluvial,Kharif,20.74,66.32,94.29,Maize
loamy,Kharif,27.11,69.9,101.64,Maize
alluvial,Kharif,25.76,59.6,100.1,Maize
loamy,Kharif,24.37,67.42,93.89,Maize
loamy,Kharif,24.28,73.07,92.32,Maize
alluvial,Kharif,25.89,55.67,78.24,Maize
loamy,Kharif,18.9,60.9,97.37,Maize
loamy,Kharif,20.01,70.73,103.82,Maize
alluvial,Kharif,23.31,73.27,101.52,Maize
alluvial,Kharif,27.14,73.88,108.37,Maize
alluvial,Kharif,25.47,61.77,65.76,Maize
black,Kharif,21.41,69.33,113.01,Soybean
loamy,Kharif,29.67,66.09,88.29,Soybean
loamy,Kharif,20.14,60.73,92.74,Soybean
loamy,Kharif,25.85,66.45,117.01,Soybean
black,Kharif,26.75,59.43,100.98,Soybean
loamy,Kharif,29.15,54.43,73.16,Soybean
loamy,Kharif,29.09,56.04,90.41,Soybean
black,Kharif,20.45,50.74,119.8,Soybean
black,Kharif,20.97,67.75,76.78,Soybean
loamy,Kharif,23.71,68.99,104.82,Soybean
loamy,Kharif,25.87,64.53,114.27,Soybean
black,Kharif,28.34,62.31,116.95,Soybean
loamy,Kharif,20.33,57.41,92.17,Soybean
black,Kharif,28.55,51.99,104.28,Soybean
loamy,Kharif,20.61,55.52,118.41,Soybean
loamy,Kharif,20.92,54.24,101.97,Soybean
black,Kharif,20.51,56.67,119.44,Soybean
black,Kharif,20.69,65.3,80.36,Soybean
black,Kharif,28.13,54.66,108.72,Soybean
black,Kharif,22.77,69.68,119.38,Soybean
loamy,Kharif,27.99,52.2,113.32,Soybean
black,Kharif,20.15,65.8,81.9,Soybean
loamy,Kharif,20.16,55.31,76.34,Soybean
loamy,Kharif,25.26,64.91,93.81,Soybean
loamy,Kharif,25.13,52.18,95.19,Soybean
black,Kharif,27.27,68.18,102.95,Soybean
loamy,Kharif,24.58,69.28,73.04,Soybean
loamy,Kharif,28.47,58.53,75.4,Soybean
loamy,Kharif,20.73,51.62,100.41,Soybean
black,Kharif,21.26,62.49,99.27,Soybean
loamy,Kharif,23.81,61.95,84.74,Soybean
loamy,Kharif,20.99,64.04,112.64,Soybean
black,Kharif,24.3,67.76,90.69,Soybean
loamy,Kharif,23.99,64.59,85.63,Soybean
loamy,Kharif,26.65,57.49,77.63,Soybean
loamy,Kharif,20.67,66.64,74.66,Soybean
black,Kharif,27.45,57.45,76.51,Soybean
black,Kharif,25.86,61.23,86.48,Soybean
black,Kharif,24.11,67.47,117.06,Soybean
loamy,Kharif,28.68,64.42,118.42,Soybean
loamy,Kharif,23.52,61.56,80.64,Soybean
loamy,Kharif,22.24,52.16,112.27,Soybean
loamy,Kharif,21.15,55.57,81.31,Soybean
loamy,Kharif,28.45,69.49,110.92,Soybean
black,Kharif,26.09,63.16,104.67,Soybean
black,Kharif,21.8,64.05,85.45,Soybean
loamy,Kharif,23.51,53.63,77.16,Soybean
loamy,Kharif,20.7,64.82,118.59,Soybean
black,Kharif,27.46,54.3,90.99,Soybean
loamy,Kharif,21.57,56.23,86.22,Soybean
black,Kharif,28.83,53.11,107.72,Soybean
black,Kharif,26.74,55.44,103.1,Soybean
loamy,Kharif,26.07,58.28,80.78,Soybean
black,Kharif,23.45,52.22,103.91,Soybean
loamy,Kharif,25.27,56.17,81.03,Soybean
black,Kharif,20.08,56.03,80.56,Soybean
black,Kharif,27.64,55.79,76.0,Soybean
loamy,Kharif,27.47,53.51,89.01,Soybean
black,Kharif,25.0,66.67,110.31,Soybean
black,Kharif,23.97,64.84,91.81,Soybean
loamy,Kharif,29.21,67.24,98.79,Soybean
loamy,Kharif,27.09,58.35,75.76,Soybean
black,Kharif,29.66,53.44,117.38,Soybean
loamy,Kharif,28.32,68.4,74.41,Soybean
black,Kharif,22.43,61.78,96.2,Soybean
loamy,Kharif,28.71,64.92,81.08,Soybean
black,Kharif,20.76,62.66,96.53,Soybean
black,Kharif,29.06,56.99,106.37,Soybean
black,Kharif,22.36,52.93,79.86,Soybean
black,Kharif,27.6,63.11,78.86,Soybean
loamy,Kharif,24.64,61.27,98.97,Soybean
loamy,Kharif,28.64,62.54,77.55,Soybean
black,Kharif,24.69,62.63,109.82,Soybean
black,Kharif,23.52,51.48,93.09,Soybean
black,Kharif,20.57,66.63,73.84,Soybean
black,Kharif,26.15,60.14,93.14,Soybean
black,Kharif,24.5,66.2,102.59,Soybean
loamy,Kharif,26.05,60.03,117.89,Soybean
loamy,Kharif,21.04,67.98,87.17,Soybean
black,Kharif,25.05,53.45,82.39,Soybean
loamy,Kharif,29.91,60.48,100.49,Soybean
loamy,Kharif,23.73,55.66,90.44,Soybean
loamy,Kharif,26.79,51.05,101.54,Soybean
loamy,Kharif,20.66,51.89,103.92,Soybean
loamy,Kharif,22.52,67.03,118.22,Soybean
black,Kharif,23.33,61.65,77.07,Soybean
loamy,Kharif,23.1,63.12,103.11,Soybean
black,Kharif,25.95,68.76,85.48,Soybean
loamy,Kharif,26.43,56.57,76.39,Soybean
black,Kharif,26.46,58.47,88.09,Soybean
loamy,Kharif,23.09,69.02,87.09,Soybean
loamy,Kharif,21.92,70.0,77.75,Soybean
loamy,Kharif,28.44,52.02,108.54,Soybean
black,Kharif,26.62,67.53,100.9,Soybean
loamy,Kharif,21.54,53.62,104.64,Soybean
black,Kharif,27.21,50.87,88.21,Soybean
black,Kharif,29.7,62.21,107.62,Soybean
loamy,Kharif,22.34,54.78,118.28,Soybean
loamy,Kharif,29.04,53.88,103.92,Soybean
loamy,Kharif,24.62,55.64,89.09,Soybean
loamy,Kharif,29.66,66.34,110.06,Soybean
black,Kharif,28.73,51.04,94.03,Soybean
loamy,Kharif,25.55,52.05,112.29,Soybean
black,Kharif,22.85,65.26,83.64,Soybean
black,Kharif,28.31,51.83,115.53,Soybean
loamy,Kharif,28.85,68.61,90.74,Soybean
loamy,Kharif,25.02,54.72,119.73,Soybean
loamy,Kharif,22.25,56.37,74.95,Soybean
loamy,Kharif,27.91,52.75,84.34,Soybean
loamy,Kharif,26.96,52.78,105.28,Soybean
loamy,Kharif,26.15,68.12,70.95,Soybean
black,Kharif,28.35,60.98,106.36,Soybean
loamy,Kharif,21.11,55.76,85.06,Soybean
black,Kharif,22.38,62.78,101.14,Soybean
black,Kharif,21.11,68.1,99.84,Soybean
black,Kharif,26.32,61.5,105.93,Soybean
loamy,Kharif,24.29,62.3,82.03,Soybean
loamy,Kharif,21.87,63.36,96.17,Soybean
loamy,Kharif,20.68,60.52,95.37,Soybean
black,Kharif,23.9,59.4,101.78,Soybean
loamy,Kharif,27.54,40.32,81.54,Groundnut
loamy,Kharif,27.41,53.14,54.15,Groundnut
loamy,Kharif,26.33,47.05,63.54,Groundnut
sandy,Kharif,33.3,53.69,89.23,Groundnut
loamy,Kharif,31.32,56.23,52.52,Groundnut
loamy,Kharif,25.37,44.03,81.64,Groundnut
sandy,Kharif,28.16,46.2,65.93,Groundnut
loamy,Kharif,27.53,55.07,57.64,Groundnut
loamy,Kharif,33.62,40.96,76.23,Groundnut
loamy,Kharif,26.24,47.36,85.58,Groundnut
loamy,Kharif,33.95,47.73,88.95,Groundnut
loamy,Kharif,31.92,47.35,81.89,Groundnut
loamy,Kharif,33.01,54.54,53.16,Groundnut
sandy,Kharif,30.45,46.42,53.2,Groundnut
loamy,Kharif,28.06,52.05,67.04,Groundnut
loamy,Kharif,28.52,40.85,84.8,Groundnut
loamy,Kharif,31.15,48.7,75.58,Groundnut
sandy,Kharif,25.75,52.75,64.53,Groundnut
sandy,Kharif,34.53,42.86,74.3,Groundnut
loamy,Kharif,25.35,41.34,81.14,Groundnut
loamy,Kharif,28.62,58.99,51.3,Groundnut
sandy,Kharif,31.79,58.98,64.88,Groundnut
sandy,Kharif,30.74,50.59,65.92,Groundnut
loamy,Kharif,27.5,42.27,79.43,Groundnut
loamy,Kharif,30.18,58.27,54.71,Groundnut
loamy,Kharif,32.04,44.29,74.48,Groundnut
loamy,Kharif,27.0,42.71,52.96,Groundnut
sandy,Kharif,33.99,48.9,53.51,Groundnut
loamy,Kharif,31.68,54.19,72.0,Groundnut
loamy,Kharif,33.91,57.03,78.47,Groundnut
sandy,Kharif,32.94,50.18,54.85,Groundnut
sandy,Kharif,32.92,44.73,69.76,Groundnut
loamy,Kharif,30.54,47.38,82.15,Groundnut
sandy,Kharif,31.12,41.72,62.37,Groundnut
loamy,Kharif,30.26,55.38,82.93,Groundnut
sandy,Kharif,26.25,46.34,52.97,Groundnut
loamy,Kharif,31.8,46.89,85.12,Groundnut
sandy,Kharif,32.68,42.58,70.11,Groundnut
sandy,Kharif,33.31,50.36,62.16,Groundnut
sandy,Kharif,28.23,54.19,63.84,Groundnut
loamy,Kharif,33.46,45.01,75.4,Groundnut
loamy,Kharif,26.25,46.06,71.34,Groundnut
sandy,Kharif,30.92,51.61,56.85,Groundnut
loamy,Kharif,33.43,51.27,83.01,Groundnut
sandy,Kharif,25.81,58.97,80.84,Groundnut
loamy,Kharif,31.51,55.34,66.66,Groundnut
sandy,Kharif,29.98,52.54,61.59,Groundnut
loamy,Kharif,29.83,56.09,77.4,Groundnut
loamy,Kharif,29.54,53.77,56.32,Groundnut
loamy,Kharif,29.84,44.08,74.27,Groundnut
loamy,Kharif,33.61,46.39,89.52,Groundnut
loamy,Kharif,34.75,42.62,64.82,Groundnut
sandy,Kharif,28.19,49.33,60.7,Groundnut
sandy,Kharif,26.41,41.01,87.82,Groundnut
loamy,Kharif,27.48,57.31,56.39,Groundnut
loamy,Kharif,34.34,54.42,57.59,Groundnut
sandy,Kharif,29.98,50.29,69.95,Groundnut
loamy,Kharif,29.97,41.8,65.73,Groundnut
loamy,Kharif,34.67,44.3,64.12,Groundnut
sandy,Kharif,27.81,51.95,83.71,Groundnut
loamy,Kharif,27.86,40.16,54.3,Groundnut
sandy,Kharif,33.82,54.55,80.55,Groundnut
loamy,Kharif,25.45,41.02,72.47,Groundnut
loamy,Kharif,30.53,41.47,70.17,Groundnut
loamy,Kharif,33.25,52.46,74.44,Groundnut
sandy,Kharif,34.75,47.88,81.8,Groundnut
loamy,Kharif,30.58,47.31,55.77,Groundnut
loamy,Kharif,30.0,40.91,55.48,Groundnut
loamy,Kharif,33.04,50.39,55.96,Groundnut
sandy,Kharif,28.28,52.26,56.5,Groundnut
loamy,Kharif,30.94,50.15,70.39,Groundnut
loamy,Kharif,32.09,46.0,82.63,Groundnut
loamy,Kharif,28.31,42.19,66.66,Groundnut
loamy,Kharif,32.97,54.51,77.52,Groundnut
sandy,Kharif,30.97,45.31,76.22,Groundnut
sandy,Kharif,32.21,51.67,56.82,Groundnut
loamy,Kharif,26.48,53.61,51.26,Groundnut
sandy,Kharif,26.91,48.82,66.75,Groundnut
loamy,Kharif,31.91,48.21,81.0,Groundnut
loamy,Kharif,33.73,54.72,52.49,Groundnut
sandy,Kharif,30.19,51.22,89.92,Groundnut
loamy,Kharif,30.25,46.28,56.93,Groundnut
loamy,Kharif,30.46,53.52,84.71,Groundnut
loamy,Kharif,31.1,43.85,59.86,Groundnut
loamy,Kharif,27.25,59.46,61.9,Groundnut
loamy,Kharif,32.05,53.8,69.56,Groundnut
loamy,Kharif,28.49,58.67,81.82,Groundnut
loamy,Kharif,27.88,51.47,71.73,Groundnut
loamy,Kharif,33.18,59.09,82.18,Groundnut
loamy,Kharif,25.42,59.11,53.16,Groundnut
loamy,Kharif,31.56,54.95,58.56,Groundnut
loamy,Kharif,34.33,53.92,55.49,Groundnut
sandy,Kharif,27.42,53.4,71.24,Groundnut
sandy,Kharif,25.52,48.27,78.69,Groundnut
sandy,Kharif,31.81,42.75,88.58,Groundnut
sandy,Kharif,29.07,58.7,85.14,Groundnut
loamy,Kharif,31.51,55.12,61.49,Groundnut
loamy,Kharif,31.46,58.16,53.58,Groundnut
sandy,Kharif,30.35,54.46,87.47,Groundnut
sandy,Kharif,29.18,56.75,87.36,Groundnut
sandy,Kharif,34.97,47.94,69.82,Groundnut
loamy,Kharif,33.77,40.19,72.72,Groundnut
sandy,Kharif,34.28,46.7,68.17,Groundnut
loamy,Kharif,33.89,42.68,70.17,Groundnut
loamy,Kharif,26.93,42.25,56.5,Groundnut
loamy,Kharif,31.48,54.37,50.56,Groundnut
loamy,Kharif,32.91,51.36,80.29,Groundnut
sandy,Kharif,31.11,52.77,66.22,Groundnut
loamy,Kharif,30.15,41.73,76.77,Groundnut
sandy,Kharif,34.82,49.55,87.43,Groundnut
sandy,Kharif,27.61,44.71,80.15,Groundnut
loamy,Kharif,28.02,54.46,50.46,Groundnut
loamy,Kharif,31.93,41.24,54.73,Groundnut
loamy,Kharif,26.6,53.72,86.92,Groundnut
loamy,Kharif,31.9,52.77,87.63,Groundnut
loamy,Kharif,31.15,44.38,55.34,Groundnut
sandy,Kharif,29.55,59.78,64.94,Groundnut
loamy,Kharif,32.57,56.04,83.02,Groundnut
sandy,Kharif,31.8,51.92,81.49,Groundnut
loamy,Kharif,30.28,47.24,86.69,Groundnut
black,Kharif,25.62,40.95,60.22,Cotton
black,Kharif,26.65,47.09,57.67,Cotton
black,Kharif,32.17,39.78,75.96,Cotton
black,Kharif,33.09,39.07,60.53,Cotton
black,Kharif,30.64,41.18,66.91,Cotton
black,Kharif,32.23,37.92,72.66,Cotton
black,Kharif,30.78,30.91,53.78,Cotton
black,Kharif,30.41,31.21,75.77,Cotton
black,Kharif,25.32,38.18,70.76,Cotton
black,Kharif,28.74,47.83,57.94,Cotton
black,Kharif,28.76,43.65,66.47,Cotton
black,Kharif,31.54,36.96,47.14,Cotton
black,Kharif,30.29,44.56,48.91,Cotton
black,Kharif,32.56,49.57,58.52,Cotton
black,Kharif,30.32,46.47,49.9,Cotton
black,Kharif,26.55,33.77,75.01,Cotton
black,Kharif,25.32,43.2,64.6,Cotton
black,Kharif,27.41,31.35,63.76,Cotton
black,Kharif,30.98,44.07,41.95,Cotton
black,Kharif,29.02,34.69,48.69,Cotton
black,Kharif,26.4,49.87,49.37,Cotton
black,Kharif,30.77,45.45,72.74,Cotton
black,Kharif,28.02,32.87,66.41,Cotton
black,Kharif,29.14,35.5,62.27,Cotton
black,Kharif,31.26,38.54,59.82,Cotton
black,Kharif,34.42,43.43,71.43,Cotton
black,Kharif,31.96,38.17,52.0,Cotton
black,Kharif,32.54,39.47,73.97,Cotton
black,Kharif,33.58,32.89,58.52,Cotton
black,Kharif,30.62,49.36,62.29,Cotton
black,Kharif,28.88,35.1,53.21,Cotton
black,Kharif,34.22,46.94,43.7,Cotton
black,Kharif,25.52,37.54,64.2,Cotton
black,Kharif,33.74,33.76,70.47,Cotton
black,Kharif,29.79,47.39,53.32,Cotton
black,Kharif,27.12,33.8,69.66,Cotton
black,Kharif,34.14,43.91,68.15,Cotton
black,Kharif,34.15,41.04,71.02,Cotton
black,Kharif,29.66,42.97,52.34,Cotton
black,Kharif,30.13,39.95,43.94,Cotton
black,Kharif,32.62,36.4,48.13,Cotton
black,Kharif,29.14,41.25,48.85,Cotton
black,Kharif,25.16,41.07,63.36,Cotton
black,Kharif,27.95,33.92,49.2,Cotton
black,Kharif,29.99,43.09,67.39,Cotton
black,Kharif,32.63,39.77,68.94,Cotton
black,Kharif,29.61,44.66,54.09,Cotton
black,Kharif,32.2,39.77,76.68,Cotton
black,Kharif,30.24,46.78,42.97,Cotton
black,Kharif,32.64,38.25,73.7,Cotton
black,Kharif,25.68,33.02,48.75,Cotton
black,Kharif,28.73,42.36,66.67,Cotton
black,Kharif,31.59,30.31,61.29,Cotton
black,Kharif,25.12,40.59,50.99,Cotton
black,Kharif,25.17,46.26,66.96,Cotton
black,Kharif,26.07,31.93,45.96,Cotton
black,Kharif,31.2,35.05,54.18,Cotton
black,Kharif,25.79,49.19,58.36,Cotton
black,Kharif,34.9,34.52,67.36,Cotton
black,Kharif,31.54,47.16,70.38,Cotton
black,Kharif,29.05,37.54,59.04,Cotton
black,Kharif,32.03,31.65,73.81,Cotton
black,Kharif,30.66,47.16,43.81,Cotton
black,Kharif,27.3,48.03,67.69,Cotton
black,Kharif,27.71,48.48,67.38,Cotton
black,Kharif,33.99,41.27,41.32,Cotton
black,Kharif,25.16,34.14,45.77,Cotton
black,Kharif,34.29,35.99,62.56,Cotton
